FASITEC DESENVOLVIMENTO E TECNOLOGIA LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;Página:;;1/235;;
CNPJ:;;00483195000178;;;;;;;;;;;;;;;;;;;;;;;;Emissão:;;27/06/2025;;
Período:;;01/01/2024;;;;;;a;;31/12/2024;;;;;;;;;;;;;;;;Hora:;;14:23:05;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RETENÇÕES A COMPENSAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Código;;;;;Imposto;;;;;;Nota;;Tipo;;Data;;Valor Contábil;;Retenção;;;;;;;;Cód. Rec.
Cliente:;;;;;2;;;;;;CAIXA ECONOMICA FEDERAL;;;;;;;;;;;CNPJ:;;;00360305005920;;;;;
;;;16;;;;;IRRF;;;;;;202400000000061;;Serviço;;01/01/2024;;500,00;;24,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000062;;Serviço;;01/01/2024;;500,00;;24,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000063;;Serviço;;01/01/2024;;401,45;;19,27;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000064;;Serviço;;01/01/2024;;1.641,60;;78,80;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000065;;Serviço;;01/01/2024;;1.033,62;;49,61;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000066;;Serviço;;01/01/2024;;4.314,80;;207,11;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000067;;Serviço;;01/01/2024;;247,80;;11,89;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000068;;Serviço;;01/01/2024;;18.586,30;;892,14;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000069;;Serviço;;01/01/2024;;316,02;;15,17;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000070;;Serviço;;01/01/2024;;583,95;;28,03;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000071;;Serviço;;01/01/2024;;2.316,00;;111,17;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000072;;Serviço;;01/01/2024;;2.605,90;;125,08;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000073;;Serviço;;01/01/2024;;1.000,00;;48,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000074;;Serviço;;01/01/2024;;141,37;;6,79;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000075;;Serviço;;01/01/2024;;486,00;;23,33;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000076;;Serviço;;01/01/2024;;465,65;;22,35;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000077;;Serviço;;01/01/2024;;4.491,60;;215,60;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000078;;Serviço;;01/01/2024;;1.016,76;;48,80;;;;;;;;170806
